DatGeracaoConjuntoDados;SigTipoGeracao;QtdUsinasPeriodo;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2024-09-01;CGH;451;277679,00;6 ;2014
2024-09-01;CGH;473;292933,00;9 ;2014
2024-09-01;EOL;183;3840138,00;9 ;2014
2024-09-01;UFV;180;15312,00;9 ;2014
2024-09-01;PCH;470;4689552,00;9 ;2014
2024-09-01;UHE;198;82987658,00;9 ;2014
2024-09-01;UTE;1871;37477187,00;9 ;2014
2024-09-01;UTN;2;1990000,00;9 ;2014
2024-09-01;UTN;2;1990000,00;12;2015
2024-09-01;UTE;2853;39392797,00;12;2015
2024-09-01;UHE;197;86002478,00;12;2015
2024-09-01;UFV;33;21336,00;12;2015
2024-09-01;PCH;466;4840273,00;12;2015
2024-09-01;CGH;538;395026,00;12;2015
2024-09-01;EOL;316;7629732,00;12;2015
2024-09-01;EOL;265;5832549,00;3 ;2015
2024-09-01;CGH;496;326213,00;3 ;2015
2024-09-01;PCH;476;4783058,00;3 ;2015
2024-09-01;UFV;317;15179,00;3 ;2015
2024-09-01;UTE;2291;38372240,00;3 ;2015
2024-09-01;UHE;201;84703838,00;3 ;2015
2024-09-01;UTN;2;1990000,00;3 ;2015
2024-09-01;UTN;2;1990000,00;6 ;2015
2024-09-01;UTE;2709;39394439,00;6 ;2015
2024-09-01;UHE;197;85127318,00;6 ;2015
2024-09-01;UFV;23;11233,00;6 ;2015
2024-09-01;PCH;471;4821940,00;6 ;2015
2024-09-01;EOL;264;6428397,00;6 ;2015
2024-09-01;CGH;511;349845,00;6 ;2015
2024-09-01;CGH;525;370609,00;9 ;2015
2024-09-01;EOL;273;6629397,00;9 ;2015
2024-09-01;UFV;25;21233,00;9 ;2015
2024-09-01;PCH;466;4816945,00;9 ;2015
2024-09-01;UHE;198;85278663,00;9 ;2015
2024-09-01;UTE;2807;39693189,00;9 ;2015
2024-09-01;UTN;2;1990000,00;9 ;2015
2024-09-01;UTN;2;1990000,00;12;2016
2024-09-01;UTE;2947;41099708,61;12;2016
2024-09-01;UHE;219;91499178,33;12;2016
2024-09-01;UFV;42;23008,42;12;2016
2024-09-01;PCH;441;4918966,57;12;2016
2024-09-01;EOL;413;10123942,22;12;2016
2024-09-01;CGH;581;480933,33;12;2016
2024-09-01;EOL;349;8488082,00;3 ;2016
2024-09-01;CGH;553;426059,00;3 ;2016
2024-09-01;PCH;457;4825445,00;3 ;2016
2024-09-01;UFV;38;22933,00;3 ;2016
2024-09-01;UTE;2884;39520104,00;3 ;2016
2024-09-01;UHE;203;86992668,00;3 ;2016
2024-09-01;UTN;2;1990000,00;3 ;2016
2024-09-01;UTN;2;1990000,00;6 ;2016
2024-09-01;UTE;2896;40127478,56;6 ;2016
2024-09-01;UHE;218;88350604,00;6 ;2016
2024-09-01;UFV;39;22951,52;6 ;2016
2024-09-01;PCH;448;4816929,47;6 ;2016
2024-09-01;EOL;370;9022700,22;6 ;2016
2024-09-01;CGH;554;427331,52;6 ;2016
2024-09-01;CGH;565;450392,25;9 ;2016
2024-09-01;EOL;389;9506960,22;9 ;2016
2024-09-01;UFV;42;23008,42;9 ;2016
2024-09-01;PCH;446;4848790,47;9 ;2016
2024-09-01;UHE;220;90465984,11;9 ;2016
2024-09-01;UTE;2923;40660601,96;9 ;2016
